,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,Unnamed: 16
244900,2007,Lexus,LS 460,Base,Sedan,automatic,jthbl46fx75019959,tx,3.6,83129.0,gray,—,fairway ford henderson,18800,18100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST),
445288,2014,Dodge,Charger,SXT,Sedan,,2c3cdxhg7eh366072,on,4.6,27654.0,white,black,fca canada inc,19750,20100,Tue May 26 2015 03:00:00 GMT-0700 (PDT),
294985,2012,Mercedes-Benz,GL-Class,GL550 4MATIC,SUV,automatic,4jgbf8ge6ca779213,tx,5.0,74324.0,white,tan,cotroneo auto group,36500,36500,Wed Feb 11 2015 02:20:00 GMT-0800 (PST),
88084,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f39ca047906,pa,3.5,19486.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",13050,12800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST),
85748,2013,Lexus,ES 350,Base,Sedan,automatic,jthbk1gg3d2028153,ga,4.4,40882.0,black,black,morrison motors inc,26200,26400,Wed Feb 04 2015 02:00:00 GMT-0800 (PST),
39186,2009,Dodge,Journey,SXT,SUV,automatic,3d4gg57v19t164921,tn,2.8,130604.0,white,brown,wells fargo dealer services,5275,4700,Tue Dec 23 2014 10:30:00 GMT-0800 (PST),
368498,2001,Ford,Taurus,SES,Sedan,automatic,1fafp55u61g258780,ga,1.9,161308.0,silver,gray,five star ford lincoln mercury,950,500,Fri Feb 27 2015 03:00:00 GMT-0800 (PST),
343508,2011,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c53bt095321,ca,3.9,48784.0,blue,—,bmw mini financial services,10700,11750,Thu Feb 26 2015 04:30:00 GMT-0800 (PST),
227308,2010,MINI,Cooper,Base,Hatchback,automatic,wmwmf3c56atz61336,tx,3.5,52995.0,—,black,regional acceptance corporation / greensboro,8775,8500,Tue Feb 03 2015 02:30:00 GMT-0800 (PST),
165452,2010,Jeep,Wrangler,Unlimited Sport,SUV,manual,1j4ba3h1xal126946,nc,4.6,87810.0,black,gray,hendrick motors of charlotte,16700,16700,Wed Jan 21 2015 06:30:00 GMT-0800 (PST),
351689,2013,Ram,2500,Tradesman,Crew Cab,automatic,3c6ur5hl0dg552268,nc,4.4,34892.0,white,gray,chrysler capital,28000,31300,Mon Mar 02 2015 01:30:00 GMT-0800 (PST),
269330,2008,Audi,A6,3.2 quattro,Sedan,automatic,waudh74f88n016539,il,3.6,97212.0,black,black,fifth third bank,10650,10800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),
471207,2004,Acura,MDX,Touring,suv,automatic,2hnyd18884h500863,nj,2.7,124671.0,silver,black,elite acura,5700,5300,Wed May 27 2015 02:30:00 GMT-0700 (PDT),
341388,2014,Subaru,Outback,2.5i Limited PZEV,Wagon,,4s4brblc9e3233750,nj,4.2,8986.0,blue,black,subaru of america,26000,27700,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),
352898,2010,Chrysler,Sebring,Touring,Sedan,automatic,1c3cc4fb0an152826,ca,1.9,60111.0,silver,black,santander consumer,6500,4800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),
541703,2005,Honda,Odyssey,EX-L,minivan,automatic,5fnrl38755b136327,ma,1.9,109901.0,blue,gray,boch new to you superstore,6050,5200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT),
195014,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcek19j381131716,pa,4.2,98302.0,blue,gray,milham ford toyota scion,15350,13800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST),
281025,2003,Buick,LeSabre,Limited,Sedan,automatic,1g4hr54k13u245304,oh,1.9,178311.0,white,tan,dt inventory,2025,300,Thu Feb 26 2015 01:00:00 GMT-0800 (PST),
57809,2007,Chrysler,Sebring,Base,Sedan,automatic,1c3lc46k87n506715,il,2.0,83891.0,turquoise,gray,santander consumer,3975,1900,Tue Dec 30 2014 13:00:00 GMT-0800 (PST),
504434,2012,Ford,Edge,SEL,suv,automatic,2fmdk3jcxcba49078,il,2.9,39670.0,red,beige,"ford motor credit company,llc",18400,19500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT),
99687,2009,Toyota,Highlander Hybrid,Base,SUV,automatic,jteew41a792027888,ca,3.5,60734.0,gray,gray,aaero sweet company,15200,20500,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),
108017,2013,Buick,Regal,Premium 2 Turbo,Sedan,automatic,2g4gt5gv0d9250320,nc,5.0,11256.0,silver,black,gm financial,18550,19100,Tue Jan 20 2015 01:15:00 GMT-0800 (PST),
477347,1999,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4g258s9xc735090,fl,2.7,108855.0,red,black,wilde honda,1650,1900,Thu May 28 2015 02:40:00 GMT-0700 (PDT),
456557,2000,BMW,3 Series,323i,Sedan,manual,wbaam3347ykc68441,ca,2.6,204720.0,gray,gray,800 loan mart,1100,1100,Thu May 28 2015 05:00:00 GMT-0700 (PDT),
120086,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2fn312816,nj,1.0,12543.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14250,8750,Wed Jan 14 2015 04:00:00 GMT-0800 (PST),
